Project,URL,Language,Created since (months),Updated since (months),Contributors,Orgs for Top15 contributors,Commit freq/week (last yr),Releases (last yr),Closed issues (last 90d),Updated issues (last 90d),Comment freq/issue (last 90d),Commit mentions,Criticality Score
linux,https://github.com/torvalds/linux,C,112,0,5000,10,1394.9,73,1,216,0.0,41259703,0.92262
git,https://github.com/git/git,C,150,0,1905,5,46.6,63,50,71,13.5,24127526,0.94426
linux,https://github.com/raspberrypi/linux,C,108,0,5000,10,171.8,7,131,255,4.8,56016,0.93553
php-src,https://github.com/php/php-src,C,115,2,1201,9,75.3,115,465,558,2.2,290322,0.89221
openssl,https://github.com/openssl/openssl,C,95,0,692,4,45.9,41,707,1265,4.2,363741,0.89018
systemd,https://github.com/systemd/systemd,C,69,0,1847,2,86.9,10,908,1307,2.9,110734,0.84756
qmk_firmware,https://github.com/qmk/qmk_firmware,C,72,0,1953,4,48.5,206,943,1298,1.8,16628,0.83359
curl,https://github.com/curl/curl,C,130,0,856,8,27.4,8,422,473,2.6,29629,0.83151
qemu,https://github.com/qemu/qemu,C,101,0,2037,3,153.3,35,6,6,1.0,215328,0.81308
zephyr,https://github.com/zephyrproject-rtos/zephyr,C,55,1,998,5,192.7,16,2755,3616,2.0,5119,0.81175
mbed-os,https://github.com/ARMmbed/mbed-os,C,94,0,857,6,53.8,18,1713,2009,1.8,3682,0.80939
openwrt,https://github.com/openwrt/openwrt,C,61,1,877,4,62.2,6,285,444,5.9,22742,0.79879
astropy,https://github.com/astropy/astropy,C,114,0,398,9,40.7,12,390,591,4.5,1370,0.79128
redis,https://github.com/redis/redis,C,142,0,500,10,16.1,5,645,821,2.4,7685,0.79075
esp-idf,https://github.com/espressif/esp-idf,C,52,1,462,3,47.2,16,356,695,3.2,74076,0.78227
RIOT,https://github.com/RIOT-OS/RIOT,C,96,0,370,6,98.4,5,749,1038,3.7,2531,0.7813
libuv,https://github.com/libuv/libuv,C,85,0,441,9,5.0,32,67,151,2.5,27155,0.77991
bcc,https://github.com/iovisor/bcc,C,68,0,370,10,7.3,6,105,137,3.0,32241,0.76692
RetroArch,https://github.com/libretro/RetroArch,C,128,0,501,5,81.3,9,289,488,1.6,3659,0.76314
lxc,https://github.com/lxc/lxc,C,100,0,463,6,10.8,14,52,74,2.4,23829,0.75855
FreeRDP,https://github.com/FreeRDP/FreeRDP,C,114,0,369,8,14.0,5,116,189,2.7,7864,0.75114
glusterfs,https://github.com/gluster/glusterfs,C,119,0,360,6,8.7,57,466,751,3.4,1048,0.74888
darktable,https://github.com/darktable-org/darktable,C,105,0,433,2,76.9,5,935,1196,4.2,1610,0.74078
obs-studio,https://github.com/obsproject/obs-studio,C,87,0,420,4,19.7,21,427,631,2.7,1885,0.73963
urbit,https://github.com/urbit/urbit,C,76,0,152,4,70.0,6,633,760,2.6,8875,0.73955
FFmpeg,https://github.com/FFmpeg/FFmpeg,C,117,0,2030,1,73.9,35,13,13,0.8,28994,0.73939
ovs,https://github.com/openvswitch/ovs,C,81,0,600,8,9.6,18,10,14,1.4,22594,0.7376
ImageMagick,https://github.com/ImageMagick/ImageMagick,C,67,0,110,8,27.8,59,265,343,1.5,8079,0.73656
freebsd,https://github.com/freebsd/freebsd,C,112,0,795,8,157.7,0,8,46,0.4,31317,0.73624
fio,https://github.com/axboe/fio,C,98,0,350,6,8.1,29,40,70,3.3,4426,0.73404
libwebsockets,https://github.com/warmcat/libwebsockets,C,95,2,363,7,11.4,11,114,121,4.7,5464,0.73129
zfs,https://github.com/openzfs/zfs,C,133,0,538,8,17.2,9,453,1229,2.4,200,0.72812
gpdb,https://github.com/greenplum-db/gpdb,C,62,0,360,7,26.3,17,584,774,1.6,953,0.72775
netdata,https://github.com/netdata/netdata,C,90,0,447,3,26.0,12,597,857,3.0,1150,0.72523
mbedtls,https://github.com/ARMmbed/mbedtls,C,98,0,208,7,23.8,12,208,505,1.5,2273,0.72016
libgit2,https://github.com/libgit2/libgit2,C,124,0,457,7,8.4,7,64,136,1.6,3857,0.71562
fluent-bit,https://github.com/fluent/fluent-bit,C,71,0,200,7,22.4,27,231,491,2.0,931,0.71559
micropython,https://github.com/micropython/micropython,C,84,0,359,3,18.0,2,207,401,2.5,11147,0.70788
CMake,https://github.com/Kitware/CMake,C,131,0,1258,5,46.7,36,1,1,1.0,1836,0.70114
AudioKit,https://github.com/AudioKit/AudioKit,C,83,1,160,7,39.8,9,119,125,4.0,1080,0.69835
janus-gateway,https://github.com/meetecho/janus-gateway,C,82,0,223,7,10.1,7,134,156,3.5,1018,0.69484
vlc,https://github.com/videolan/vlc,C,107,0,907,7,69.8,6,3,4,0.2,4791,0.6927
lede,https://github.com/coolsnowwolf/lede,C,39,0,193,5,22.2,1,375,574,2.4,9200,0.69026
tmux,https://github.com/tmux/tmux,C,66,0,37,5,14.3,7,125,136,6.3,8510,0.6891
